LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
1,,23805.1,PAR,PARURE NÉOCLASSIQUE MALACHITE ET PERLES DE SEMENCE,,,,,"Comprising a necklace, two bracelets and a pair of earrings <br><br>Malachite cameos depicting putti, elegant men and women of Ancient Rome, round and rounded seed pearls, filigree 18k yellow gold (French and French customs marks), with a fitted case, circa 1810<br><br>Size/Dimensions: necklace 57.5 cm, pendant 4.8 x 4.1 cm, bracelets 17.5 cm, earrings 4.0 cm<br>Gross weight: 119.7 grams<br><br><b>Please note that pearls have not been tested for natural origin.</b><br>",,"This delicate day parure bears striking similarities to the sets created by jewellers for the Imperial Court, embodying the aesthetic of the Empire style under Napoleon I. <br><br>Comparable examples are known, such as the malachite and pearl cameo parure preserved in the collections of the Fondation Napoléon. Characteristic of the Empire style, this parure alternates finely chiselled gold and pearl palmettes with malachite cameos depicting the gods of Olympus. It is an exceptionally rare example of a complete set that has survived intact, including a tiara, hairpins, necklace, brooch, pendant, bracelets, and belt.<br><br>Our parure, also complete, consists of a pair of pendant earrings, a medallion necklace, and a pair of bracelets. It is set with 56 malachite cameos, each framed in gold with twisted borders. The cameos, carved in the antique style, depict busts and figures from Greco-Roman mythology, including Venus, goddess of Love and Beauty, surrounded by small cameos featuring putti in various activities. On the necklace, the cameos are interspersed with delicate openwork foliate motifs in gold, adorned with small pearls; on the bracelets, they are punctuated with two pearls. The entire set is preserved in its original heart-shaped case.",,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Necklace and bracelets fitted with concealed clasps, earrings fitted screw-back for non-pierced ears. <br>- Malachites: in fair condition, with scratches and severe cracks, visible signs of repair with glue.<br>- Seed pearls: of white to cream bodycolor bodycolour, partly with rosé and green overtones, nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:00:00,30000,30000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,malachite;pearl,jewelry set,
2,,23805.2,PAR,COLLIER DE PERLES FINES ET PERLES DE CULTURE DIAMANT DE COULEUR ET DIAMANTS,,,,,"Comprising three rows of pearls of approximately 50 cm, approximately 48.5 cm, approximately 46 cm (SSEF report)<br><br>Round to oval and barrel-shaped pearls, old-cut coloured diamond and diamonds, 18k yellow gold (French mark), maker’s mark (Jean Chardonnier), circa 1930<br><br>SSEF, 2025, report n°.145566: 72 saltwater natural pearls and 147 saltwater cultured pearls,<br>row 1: approximately 4.15 - 5.25 - 8.15 - 5.35 - 4.10 mm,<br>row 2: approximately 4.05 - 5.40 - 8.20 - 5.45 - 4.00 mm,<br>row 3: approximately 3.55 - 4.85 - 7.55 - 4.85 - 3.45 mm<br><br>Coloured diamond: for an approximate weight of 1.30-1.40 carat<br>Diamonds: for an approximate weight of 0.50-0.70 carat<br><br>Size/Dimensions: 45.5 cm<br>Gross weight: 52.8 grams <br><br><b>Please note that the coloured diamond has not been tested for natural colour.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a concealed clasp with a security chainlet.<br>- Pearls: lightly cream to cream, and light yellow, partly with rosé and green overtones (SSEF report), nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Coloured diamond: with minor chips at the junction of the table's facets.<br>- Diamonds: on average SI to I clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,40000,60000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:01:00,40000,40000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;colored diamond,necklace,
3,,23805.3,PAR,BROCHE DÉBUT DU XIXe SIÈCLE PERLES FINES ET DIAMANTS,,,,,"Old and rose-cut diamonds, drop-shaped natural pearls, 18k white and yellow gold (French customs mark), circa 1830<br><br>SSEF, 2025, report n°.147027: 5 saltwater natural pearls, approximately 8.05 - 9.30 x 10.80 mm, 9.70 - 10.80 x 13.70 mm, 8.30 - 9.60 x 11.25 mm, 10.90 - 11.50 mm and 12.70 - 13.20 x 18.30 mm<br><br>Diamonds: for an approximate total weight of 10.00-12.00 carats<br><br>Size/Dimensions: 8.5 cm<br>Gross weight: 35.8 grams<br>","Marie Clémentine of Habsburg-Lorraine <br><br>Brooch accompanied by a period gold and mother-of-pearl book, serving as an inventory and detailing the provenance and dating of the present brooch: <br><i>“Principaux petits bijoux ayant une provenance ou un intérêt historique.<br>Un collier rivière de diamants laissé à moi par la Princesse de Salerne, lui venait de sa belle-mère l’Impératrice Caroline, 4<sup>ème </sup>femme de son père l’Empereur François Ier d’Autriche.<br>Une plaque de diamants avec paires de perles même provenance que le collier »</i><br><br>Which can be translated into English as follows:<br><i></i><i>“Main small jewels with provenance or historical interest.<br>A diamond rivière necklace left to me by the Princess of Salerno, which came from her mother-in-law, Empress Caroline, fourth wife of her father, Emperor Francis I of Austria.<br>A diamond plaque with matching pairs of pearls, same provenance as the necklace”.</i>","<b>Historical Context and Provenance</b><br><br>This jewel is believed to have belonged to Empress Caroline Augusta of Bavaria (1792–1873), the fourth wife of Emperor Francis I of Austria (1768–1835), who reigned as Emperor of Austria from 1804 until his death in 1835. Caroline Augusta married the Emperor in 1816. Although she had no children of her own, she became the stepmother to the Emperor’s children from his previous marriages.<br><br>According to a contemporary inventory, the jewel—described as a <i>diamond plaque with pairs of pearls</i>—was bequeathed by the Princess of Salerno, who inherited it from her mother-in-law, Empress Caroline.<br>The title <i>Princess of Salerno </i>could plausibly refer to Marie Thérèse of Austria (1816–1867), daughter of Emperor Francis I and thus Caroline Augusta’s stepdaughter. In 1837, Marie Thérèse married Ferdinand II of the Two Sicilies, and her sister Marie Caroline of Austria married Leopold, Prince of Salerno. It is therefore possible that the jewel passed through the Austro-Neapolitan branch of the Habsburg family by way of dynastic alliance.<br><br><b>Probable Dating and Style</b><br>Given that Caroline Augusta became Empress in 1816, and the jewel was subsequently passed to her stepdaughter, the Princess of Salerno, it is likely that this piece was created between 1816 and the 1830s–1840s.<br><br>Stylistically, the jewel corresponds to the Empire or early Biedermeier period in Austria.",,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a single pinstem with a security chainlet (not original).<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.<br>- Natural pearls: slightly cream to light cream, partly with rosé and green overtones (SSEF certificate). With some typical blemishes and some lack of nacre and scratches at surface. Drilled.",,,,,,,,,,60000,80000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:02:00,60000,60000,0,0,,,,,,Germany,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond,brooch,
4,,23805.4,PAR,BAGUE DIAMANT,,,,,"Old-cut diamond of 9.30 carats, 18k white gold (French customs mark) <br><br>GIA, 2025, report n°.2235563027: 9.30 carats, Q to R range color, VVS1 clarity, no fluorescence<br><br>Size/Dimensions: FR ring size: 57 / US ring size: 8 <br>Gross weight: 8.4 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Diamond: with minor chips at the junction of the table's facets and at the girdle.",,,,,,,,,,50000,80000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:03:00,50000,50000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,,
5,,23805.5,PAR,"ENSEMBLE FIN DU XIXe SIÈCLE AMÉTHYSTES, PERLES ET DIAMANTS",,,,,"Comprising a necklace, a brooch transformable into a pendant and a bracelet<br><br>Pear, oval-shaped and round amethysts, seed pearls, rose-cut diamonds, 18k rose and yellow gold (French customs marks) and silver, circa 1880<br><br>Main amethysts: with an approximate weight of 28.00-32.00 carats and 22.00-26.00 carats<br><br>Size/Dimensions: necklace 42.0 cm, brooch 3.0 x 3.0 cm, bracelet inner continuous circumference 17.0 cm<br>Gross weight: 82.9 grams<br><br><b>Please note that the pearls have not been tested for natural origin.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, severe oxidation stains. Necklace fitted with a concealed clasp, brooch fitted with a single pinstem and a bail, bracelet without clasp. Gross weight of each element: 57.0 grams (necklace), 17.0 grams (brooch) and 8.9 grams (bracelet). One complete pendant is missing from the bracelet.<br>- Additional marks: French maker’s mark unidentifiable and partially erased.<br>- Amethysts: with typical inclusions, minor chips at the junction of the table's facets.<br>-Pearls: of white to cream bodycolor, partly with rosé and green overtones, good luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Some pearls are broken. Drilled.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:04:00,5000,5000,0,0,,,,,,Belgium,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,amethyst;diamond;pearl,jewelry set,
6,,23805.6,PAR,"FABERGÉ ÉTUDE D'UNE VIOLETTE EN OR, CRISTAL DE ROCHE, NÉPHRITE ET ÉMAIL",,,"A FABERGÉ GOLD-MOUNTED ENAMEL, NEPHRITE AND ROCK CRYSTAL STUDY OF A VIOLET",Property From an Important Private French Collection,"In a cylindrical rock crystal vase with everted rim, a finely textured 18k gold stem with two nephrite leaves, terminating in three painted enamel purple flowers, set with green enamelled sepals, workmaster Michael Perchin, St Petersburg, 1899-1903, <i>marked on stem with workmaster’s initials; </i>in the original fitted Fabergé wooden case<br><br>Size/Dimensions: height 12.0 cm<br>Gross Weight: 103.1 grams<br>",Acquired by the family of the present owner in the 1970s.,,,,"- Overall condition: good. Shows normal signs of wear, with abrasions throughout gold.<br>- Rock crystal : there is a chip to the surface around the drill hole for the stem, minor surface scratching otherwise.<br>- Nephrite: in good condition, one leaf very slightly loose but secure.<br>- Enamel: in good condition, there are a few hairline cracks to enamel on two flowers, minor abrasion to enamel along the edges throughout, and some minor losses to green enamelled sepals as might be expected. <br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,"The production of flower studies by Fabergé is thought to have begun in the 1880s. The collaborative process involved many skilled artists and goldsmiths of the firm. It began with designs which, according to H.C. Bainbridge, were often executed by Carl Fabergé himself. The work was then carried out in stages: setting the precious stones, enamelling the flowers, adding the gold stalks and grasses, and finally assembling the flowers.<br><br>Fabergé's elegant creations were often placed in rock-crystal vases, carved in <i>trompe l'oeil </i>technique from a single piece of rock crystal to give the illusion of water. The shaped golden stems were delicately engraved with fine lines, and the flowers or berries were often executed in enamelled gold.<br><br>The present rare study of a violet shows the extraodinary skill of the enameller in imitating the matt surface of the flowers. Only a few other studies of violets are known. Models of single violet flowers in a vase are in the collection of the Cleveland Museum of Art (see M. Swezey, <i>Fabergé Flowers</i>, New York, 2004, pp. 76-77), and in the Virginia Museum of Fine Arts (see G. von Habsburg, <i>Fabergé Revealed</i>, New York, 2011, p. 216, no. 109). For a third spray of violets with enamelled leaves, which was purchased by Nicholas II and Alexandra Feodorovna in 1902, see I. Collins, <i>Fabergé: from St Petersburg to Sandringham</i>, Norwich, 2017, p. 18.",,,200000,300000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:05:00,200000,200000,0,0,,,,,,Russia,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel;Nephrite,all other types of objects,Faberge
7,,23805.7,PAR,BROCHE FIN DU XIXe SIÈCLE DIAMANTS,,,,,"Old and rose-cut diamonds, 18k yellow gold (French customs mark) and silver, circa 1880<br><br>Main diamond: weighing approximately 2.60-2.80 carats<br><br>Size/Dimensions: 7.4 x 7.4 cm<br>Gross weight: 19.1 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and silvern severe oxidation stains. Fitted with a single pinstem clipback.<br>- Diamonds: on average I to K color, SI to I clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. Main diamond with severe chips.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:06:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold;silver,brooch,
8,,23805.8,PAR,"PENDENTIF XIXe SIÈCLE CAMÉE ÉMERAUDE, ÉMAIL ET DIAMANTS",,,,,"Oval cameo emerald, black enamel, old-cut diamonds, 18k white gold (French custom mark), circa 1850 <br><br>Gem Paris, 2024, report n°.20241977927: 28.6 x 19.6 x 12.4 mm, Colombia, moderate oil <br><br>Diamonds: for an approximate total weight of 2.30-2.50 carats<br><br>Size/Dimensions: 4.0 x 3.0 cm<br>Gross weight: 21.4 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. <br>- Emerald: with typical inclusions, minor chips at surface.<br>- Enamel: in good condition, with minor chips at surface.<br>- Diamonds: on average J to L color, SI to I clarity. Colour has been gauged as far as the mounting permits. With minor chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,15000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:07:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;enamel,pendant,
9,,23805.9,PAR,"NO RESERVE - COLLIER PERLES FINES, PERLES ET DIAMANTS BELLE ÉPOQUE",,,<i><b>• This lot is offered without reserve. </b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Old and rose-cut diamonds, button-shaped natural pearls and baroque-shaped seed pearls, 18k yellow gold (French customs mark), circa 1900<br><br>GIA, 2024, report n°.6495858355 (only two pearls have been tested): 2 saltwater natural pearls, measuring approximately 3.94 x 3.82 mm and 4.16 x 3.89 mm<br><br>Diamonds: for an approximate total weight of 6.50-7.50 carats<br><br>Size/Dimensions: 41.0 cm<br>Gross weight: 35.5 grams<br><br><b>Please note that only 2 pearls have been tested, not the others.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed and secured clasp.<br>- Diamonds: on average I to K color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. <br>- Pearls: of white to light cream bodycolor, partly with orient overtones for natural pearls (GIA certificate), nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:08:00,100,100,0,0,,,,,,Germany,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;pearl,necklace,
10,,23805.10,PAR,BAGUE SAPHIR ET DIAMANTS,,,,,"Cushion mixed-cut sapphire of 13.16 carats, old and rose-cut diamonds, 18k white gold (customs mark), French maker’s mark <br><br>SSEF, 2025, report n°.146633: approximately 14.40 x 12.80 x 8.20 mm, Ceylon (Sri Lanka), no indications of heating, minor amount of oil in fissures at the time of testing<br><br>Size/Dimensions: FR ring size: 48<sup>1</sup>⁄<sub>2</sub> / US ring size: 4<sup>3</sup>⁄<sub>4</sub><br>Gross weight: 7.4 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with recizing beads.<br>- Additional marks: French maker’s mark unidentifiable and partially erased.<br>- Sapphire: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.<br>",,,,,,,,,,70000,90000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:09:00,70000,70000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond,ring,
